Epoch: [1][220/1042]	 Time 0.358 (1.979)	 Data 0.000 (1.627)	 Loss 0.318 (0.414)	 EPE 2.054 (2.615)
Epoch: [1][230/1042]	 Time 0.357 (1.957)	 Data 0.000 (1.605)	 Loss 0.370 (0.414)	 EPE 2.335 (2.614)
Epoch: [1][240/1042]	 Time 15.725 (1.994)	 Data 15.355 (1.642)	 Loss 0.448 (0.415)	 EPE 2.953 (2.627)
Epoch: [1][250/1042]	 Time 0.349 (1.983)	 Data 0.000 (1.630)	 Loss 0.368 (0.415)	 EPE 2.380 (2.629)
Epoch: [1][260/1042]	 Time 0.359 (1.985)	 Data 0.000 (1.633)	 Loss 0.343 (0.413)	 EPE 2.147 (2.616)
Epoch: [1][270/1042]	 Time 0.367 (1.965)	 Data 0.000 (1.613)	 Loss 0.345 (0.411)	 EPE 2.280 (2.607)
Epoch: [1][280/1042]	 Time 9.721 (1.956)	 Data 9.386 (1.604)	 Loss 0.349 (0.411)	 EPE 2.039 (2.603)
Epoch: [1][290/1042]	 Time 0.347 (1.924)	 Data 0.000 (1.572)	 Loss 0.290 (0.409)	 EPE 1.852 (2.593)
Epoch: [1][300/1042]	 Time 0.350 (1.912)	 Data 0.000 (1.559)	 Loss 0.311 (0.408)	 EPE 1.985 (2.585)
Epoch: [1][310/1042]	 Time 0.352 (1.903)	 Data 0.000 (1.550)	 Loss 0.552 (0.408)	 EPE 3.605 (2.585)
Epoch: [1][320/1042]	 Time 10.207 (1.922)	 Data 9.850 (1.570)	 Loss 0.337 (0.407)	 EPE 2.160 (2.578)
Epoch: [1][330/1042]	 Time 0.357 (1.920)	 Data 0.000 (1.567)	 Loss 0.337 (0.405)	 EPE 2.088 (2.569)
Epoch: [1][340/1042]	 Time 0.347 (1.907)	 Data 0.000 (1.555)	 Loss 0.322 (0.406)	 EPE 2.143 (2.573)
Epoch: [1][350/1042]	 Time 0.348 (1.911)	 Data 0.000 (1.559)	 Loss 0.334 (0.405)	 EPE 2.104 (2.566)
Epoch: [1][360/1042]	 Time 11.516 (1.920)	 Data 11.177 (1.568)	 Loss 0.469 (0.404)	 EPE 2.932 (2.558)
Epoch: [1][370/1042]	 Time 0.351 (1.901)	 Data 0.000 (1.549)	 Loss 0.386 (0.403)	 EPE 2.318 (2.554)
Epoch: [1][380/1042]	 Time 0.357 (1.882)	 Data 0.000 (1.530)	 Loss 0.401 (0.403)	 EPE 2.597 (2.554)
